"Month","Country","Latitude","Longitude","Cases"
1997-01-01,"Vietnam",15.5337409,9.52320505,0
1997-02-01,"Vietnam",15.5337409,9.52320505,0
1997-03-01,"Vietnam",15.5337409,9.52320505,0
1997-04-01,"Vietnam",15.5337409,9.52320505,0
1997-05-01,"Vietnam",15.5337409,9.52320505,0
1997-06-01,"Vietnam",15.5337409,9.52320505,0
1997-07-01,"Vietnam",15.5337409,9.52320505,0
1997-08-01,"Vietnam",15.5337409,9.52320505,0
1997-09-01,"Vietnam",15.5337409,9.52320505,0
1997-10-01,"Vietnam",15.5337409,9.52320505,0
1997-11-01,"Vietnam",15.5337409,9.52320505,0
1997-12-01,"Vietnam",15.5337409,9.52320505,0
1998-01-01,"Vietnam",15.5337409,9.52320505,0
1998-02-01,"Vietnam",15.5337409,9.52320505,0
1998-03-01,"Vietnam",15.5337409,9.52320505,0
1998-04-01,"Vietnam",15.5337409,9.52320505,0
1998-05-01,"Vietnam",15.5337409,9.52320505,0
1998-06-01,"Vietnam",15.5337409,9.52320505,0
1998-07-01,"Vietnam",15.5337409,9.52320505,0
1998-08-01,"Vietnam",15.5337409,9.52320505,0
1998-09-01,"Vietnam",15.5337409,9.52320505,0
1998-10-01,"Vietnam",15.5337409,9.52320505,0
1998-11-01,"Vietnam",15.5337409,9.52320505,0
1998-12-01,"Vietnam",15.5337409,9.52320505,0
1999-01-01,"Vietnam",15.5337409,9.52320505,0
1999-02-01,"Vietnam",15.5337409,9.52320505,0
1999-03-01,"Vietnam",15.5337409,9.52320505,0
1999-04-01,"Vietnam",15.5337409,9.52320505,0
1999-05-01,"Vietnam",15.5337409,9.52320505,0
1999-06-01,"Vietnam",15.5337409,9.52320505,0
1999-07-01,"Vietnam",15.5337409,9.52320505,0
1999-08-01,"Vietnam",15.5337409,9.52320505,0
1999-09-01,"Vietnam",15.5337409,9.52320505,0
1999-10-01,"Vietnam",15.5337409,9.52320505,0
1999-11-01,"Vietnam",15.5337409,9.52320505,0
1999-12-01,"Vietnam",15.5337409,9.52320505,0
2000-01-01,"Vietnam",15.5337409,9.52320505,0
2000-02-01,"Vietnam",15.5337409,9.52320505,0
2000-03-01,"Vietnam",15.5337409,9.52320505,0
2000-04-01,"Vietnam",15.5337409,9.52320505,0
2000-05-01,"Vietnam",15.5337409,9.52320505,0
2000-06-01,"Vietnam",15.5337409,9.52320505,0
2000-07-01,"Vietnam",15.5337409,9.52320505,0
2000-08-01,"Vietnam",15.5337409,9.52320505,0
2000-09-01,"Vietnam",15.5337409,9.52320505,0
2000-10-01,"Vietnam",15.5337409,9.52320505,0
2000-11-01,"Vietnam",15.5337409,9.52320505,0
2000-12-01,"Vietnam",15.5337409,9.52320505,0
2001-01-01,"Vietnam",15.5337409,9.52320505,0
2001-02-01,"Vietnam",15.5337409,9.52320505,0
2001-03-01,"Vietnam",15.5337409,9.52320505,0
2001-04-01,"Vietnam",15.5337409,9.52320505,0
2001-05-01,"Vietnam",15.5337409,9.52320505,0
2001-06-01,"Vietnam",15.5337409,9.52320505,0
2001-07-01,"Vietnam",15.5337409,9.52320505,0
2001-08-01,"Vietnam",15.5337409,9.52320505,0
2001-09-01,"Vietnam",15.5337409,9.52320505,0
2001-10-01,"Vietnam",15.5337409,9.52320505,0
2001-11-01,"Vietnam",15.5337409,9.52320505,0
2001-12-01,"Vietnam",15.5337409,9.52320505,0
2002-01-01,"Vietnam",15.5337409,9.52320505,0
2002-02-01,"Vietnam",15.5337409,9.52320505,0
2002-03-01,"Vietnam",15.5337409,9.52320505,0
2002-04-01,"Vietnam",15.5337409,9.52320505,0
2002-05-01,"Vietnam",15.5337409,9.52320505,0
2002-06-01,"Vietnam",15.5337409,9.52320505,0
2002-07-01,"Vietnam",15.5337409,9.52320505,0
2002-08-01,"Vietnam",15.5337409,9.52320505,0
2002-09-01,"Vietnam",15.5337409,9.52320505,0
2002-10-01,"Vietnam",15.5337409,9.52320505,0
2002-11-01,"Vietnam",15.5337409,9.52320505,0
2002-12-01,"Vietnam",15.5337409,9.52320505,0
2003-01-01,"Vietnam",15.5337409,9.52320505,0
2003-02-01,"Vietnam",15.5337409,9.52320505,0
2003-03-01,"Vietnam",15.5337409,9.52320505,0
2003-04-01,"Vietnam",15.5337409,9.52320505,0
2003-05-01,"Vietnam",15.5337409,9.52320505,0
2003-06-01,"Vietnam",15.5337409,9.52320505,0
2003-07-01,"Vietnam",15.5337409,9.52320505,0
2003-08-01,"Vietnam",15.5337409,9.52320505,0
2003-09-01,"Vietnam",15.5337409,9.52320505,0
2003-10-01,"Vietnam",15.5337409,9.52320505,0
2003-11-01,"Vietnam",15.5337409,9.52320505,0
2003-12-01,"Vietnam",15.5337409,9.52320505,3
2004-01-01,"Vietnam",15.5337409,9.52320505,14
2004-02-01,"Vietnam",15.5337409,9.52320505,4
2004-03-01,"Vietnam",15.5337409,9.52320505,1
2004-04-01,"Vietnam",15.5337409,9.52320505,0
2004-05-01,"Vietnam",15.5337409,9.52320505,0
2004-06-01,"Vietnam",15.5337409,9.52320505,0
2004-07-01,"Vietnam",15.5337409,9.52320505,3
2004-08-01,"Vietnam",15.5337409,9.52320505,1
2004-09-01,"Vietnam",15.5337409,9.52320505,0
2004-10-01,"Vietnam",15.5337409,9.52320505,0
2004-11-01,"Vietnam",15.5337409,9.52320505,0
2004-12-01,"Vietnam",15.5337409,9.52320505,5
2005-01-01,"Vietnam",15.5337409,9.52320505,13
2005-02-01,"Vietnam",15.5337409,9.52320505,7
2005-03-01,"Vietnam",15.5337409,9.52320505,17
2005-04-01,"Vietnam",15.5337409,9.52320505,11
2005-05-01,"Vietnam",15.5337409,9.52320505,6
2005-06-01,"Vietnam",15.5337409,9.52320505,1
2005-07-01,"Vietnam",15.5337409,9.52320505,4
2005-08-01,"Vietnam",15.5337409,9.52320505,0
2005-09-01,"Vietnam",15.5337409,9.52320505,0
2005-10-01,"Vietnam",15.5337409,9.52320505,1
2005-11-01,"Vietnam",15.5337409,9.52320505,1
2005-12-01,"Vietnam",15.5337409,9.52320505,0
2006-01-01,"Vietnam",15.5337409,9.52320505,0
